Algorithm,Seed,Return,Pool size,Log time
RDQN_Normal,4,4.266666666666667,6,06-21 12:30:24
RDQN_Normal,4,4.266666666666667,12,06-21 12:30:24
RDQN_Normal,4,4.266666666666667,18,06-21 12:30:25
RDQN_Normal,4,4.266666666666667,24,06-21 12:30:25
RDQN_Normal,4,4.266666666666667,30,06-21 12:30:25
RDQN_Normal,4,4.266666666666667,36,06-21 12:30:26
RDQN_Normal,4,4.266666666666667,42,06-21 12:30:26
RDQN_Normal,4,4.266666666666667,48,06-21 12:30:26
RDQN_Normal,4,4.266666666666667,54,06-21 12:30:27
RDQN_Normal,4,4.266666666666667,60,06-21 12:30:27
RDQN_Normal,4,4.266666666666667,66,06-21 12:30:27
RDQN_Normal,4,4.266666666666667,72,06-21 12:30:28
RDQN_Normal,4,4.266666666666667,78,06-21 12:30:28
RDQN_Normal,4,4.266666666666667,84,06-21 12:30:28
RDQN_Normal,4,4.266666666666667,90,06-21 12:30:29
RDQN_Normal,4,4.266666666666667,96,06-21 12:30:29
RDQN_Normal,4,4.266666666666667,102,06-21 12:30:29
RDQN_Normal,4,4.266666666666667,108,06-21 12:30:30
RDQN_Normal,4,4.266666666666667,114,06-21 12:30:30
RDQN_Normal,4,4.266666666666667,120,06-21 12:30:30
RDQN_Normal,4,4.266666666666667,126,06-21 12:30:30
RDQN_Normal,4,4.266666666666667,132,06-21 12:30:31
RDQN_Normal,4,4.266666666666667,138,06-21 12:30:31
RDQN_Normal,4,4.266666666666667,144,06-21 12:30:31
RDQN_Normal,4,4.266666666666667,150,06-21 12:30:32
RDQN_Normal,4,4.266666666666667,156,06-21 12:30:32
RDQN_Normal,4,4.266666666666667,162,06-21 12:30:32
RDQN_Normal,4,4.266666666666667,168,06-21 12:30:33
RDQN_Normal,4,4.266666666666667,174,06-21 12:30:33
RDQN_Normal,4,4.266666666666667,180,06-21 12:30:33
RDQN_Normal,4,4.266666666666667,186,06-21 12:30:33
RDQN_Normal,4,4.266666666666667,192,06-21 12:30:34
RDQN_Normal,4,4.266666666666667,198,06-21 12:30:34
RDQN_Normal,4,4.266666666666667,204,06-21 12:30:34
RDQN_Normal,4,4.266666666666667,210,06-21 12:30:35
RDQN_Normal,4,4.266666666666667,216,06-21 12:30:35
RDQN_Normal,4,4.266666666666667,222,06-21 12:30:35
RDQN_Normal,4,4.266666666666667,228,06-21 12:30:36
RDQN_Normal,4,4.266666666666667,234,06-21 12:30:36
RDQN_Normal,4,4.266666666666667,240,06-21 12:30:36
RDQN_Normal,4,4.266666666666667,246,06-21 12:30:37
RDQN_Normal,4,4.266666666666667,252,06-21 12:30:37
RDQN_Normal,4,4.288888888888889,258,06-21 12:30:38
RDQN_Normal,4,0.9327113850086175,260,06-21 12:30:38
RDQN_Normal,4,0.9327113850086175,262,06-21 12:30:38
RDQN_Normal,4,0.9327113850086175,264,06-21 12:30:39
RDQN_Normal,4,0.9327113850086175,266,06-21 12:30:39
RDQN_Normal,4,0.9327113850086175,268,06-21 12:30:39
RDQN_Normal,4,0.9327113850086175,270,06-21 12:30:40
RDQN_Normal,4,0.9327113850086175,272,06-21 12:30:40
RDQN_Normal,4,0.9327113850086175,274,06-21 12:30:40
RDQN_Normal,4,0.9327113850086175,276,06-21 12:30:41
RDQN_Normal,4,0.9327113850086175,278,06-21 12:30:41
RDQN_Normal,4,4.135944744806442,284,06-21 12:30:42
RDQN_Normal,4,4.131066506782937,290,06-21 12:30:42
RDQN_Normal,4,4.331332174692127,297,06-21 12:30:43
RDQN_Normal,4,4.580136054550944,304,06-21 12:30:45
RDQN_Normal,4,4.131066506782937,310,06-21 12:30:46
RDQN_Normal,4,4.116120314562272,316,06-21 12:30:47
RDQN_Normal,4,3.4859933521522017,322,06-21 12:30:48
RDQN_Normal,4,68.88599404768706,422,06-21 12:31:06
RDQN_Normal,4,1.6660447183419507,425,06-21 12:31:07
RDQN_Normal,4,66.86314383654788,525,06-21 12:31:21
RDQN_Normal,4,67.10782115758478,625,06-21 12:31:31
RDQN_Normal,4,66.86314383654788,725,06-21 12:31:45
RDQN_Normal,4,14.420933322746407,744,06-21 12:31:49
RDQN_Normal,4,66.97448700654546,844,06-21 12:32:05
RDQN_Normal,4,14.420933322746407,863,06-21 12:32:08
RDQN_Normal,4,14.420933322746407,882,06-21 12:32:10
RDQN_Normal,4,67.64115449178267,982,06-21 12:32:26
RDQN_Normal,4,14.420933322746407,1001,06-21 12:32:28
RDQN_Normal,4,14.420933322746407,1020,06-21 12:32:31
RDQN_Normal,4,14.420933322746407,1039,06-21 12:32:33
RDQN_Normal,4,68.174487825116,1139,06-21 12:32:50
RDQN_Normal,4,14.420933322746407,1158,06-21 12:32:54
RDQN_Normal,4,14.420933322746407,1177,06-21 12:32:58
RDQN_Normal,4,14.420933322746407,1196,06-21 12:33:02
RDQN_Normal,4,14.420933322746407,1215,06-21 12:33:06
RDQN_Normal,4,14.420933322746407,1234,06-21 12:33:10
RDQN_Normal,4,14.420933322746407,1253,06-21 12:33:13
RDQN_Normal,4,14.420933322746407,1272,06-21 12:33:17
RDQN_Normal,4,14.420933322746407,1291,06-21 12:33:20
RDQN_Normal,4,14.420933322746407,1310,06-21 12:33:22
RDQN_Normal,4,14.420933322746407,1329,06-21 12:33:25
RDQN_Normal,4,14.420933322746407,1348,06-21 12:33:27
RDQN_Normal,4,14.420933322746407,1367,06-21 12:33:29
RDQN_Normal,4,14.420933322746407,1386,06-21 12:33:32
RDQN_Normal,4,14.420933322746407,1405,06-21 12:33:35
RDQN_Normal,4,14.420933322746407,1424,06-21 12:33:39
RDQN_Normal,4,14.420933322746407,1443,06-21 12:33:42
RDQN_Normal,4,14.420933322746407,1462,06-21 12:33:45
RDQN_Normal,4,14.420933322746407,1481,06-21 12:33:48
RDQN_Normal,4,14.420933322746407,1500,06-21 12:33:50
RDQN_Normal,4,14.420933322746407,1519,06-21 12:33:52
RDQN_Normal,4,14.420933322746407,1538,06-21 12:33:55
RDQN_Normal,4,14.420933322746407,1557,06-21 12:33:58
RDQN_Normal,4,14.420933322746407,1576,06-21 12:34:01
RDQN_Normal,4,14.420933322746407,1595,06-21 12:34:03
RDQN_Normal,4,14.420933322746407,1614,06-21 12:34:05
RDQN_Normal,4,14.420933322746407,1633,06-21 12:34:06
RDQN_Normal,4,14.420933322746407,1652,06-21 12:34:08
RDQN_Normal,4,14.420933322746407,1671,06-21 12:34:09
RDQN_Normal,4,14.420933322746407,1690,06-21 12:34:11
RDQN_Normal,4,14.420933322746407,1709,06-21 12:34:13
RDQN_Normal,4,14.420933322746407,1728,06-21 12:34:15
RDQN_Normal,4,14.420933322746407,1747,06-21 12:34:17
RDQN_Normal,4,14.420933322746407,1766,06-21 12:34:19
RDQN_Normal,4,14.420933322746407,1785,06-21 12:34:22
RDQN_Normal,4,14.420933322746407,1804,06-21 12:34:25
RDQN_Normal,4,14.420933322746407,1823,06-21 12:34:27
RDQN_Normal,4,14.420933322746407,1842,06-21 12:34:30
RDQN_Normal,4,14.420933322746407,1861,06-21 12:34:34
RDQN_Normal,4,14.420933322746407,1880,06-21 12:34:38
RDQN_Normal,4,14.420933322746407,1899,06-21 12:34:41
RDQN_Normal,4,14.420933322746407,1918,06-21 12:34:45
RDQN_Normal,4,14.420933322746407,1937,06-21 12:34:47
RDQN_Normal,4,14.420933322746407,1956,06-21 12:34:50
RDQN_Normal,4,14.420933322746407,1975,06-21 12:34:53
RDQN_Normal,4,14.420933322746407,1994,06-21 12:34:55
RDQN_Normal,4,14.420933322746407,2013,06-21 12:34:58
RDQN_Normal,4,14.420933322746407,2032,06-21 12:35:00
RDQN_Normal,4,14.420933322746407,2051,06-21 12:35:03
RDQN_Normal,4,14.420933322746407,2070,06-21 12:35:06
RDQN_Normal,4,14.420933322746407,2089,06-21 12:35:08
RDQN_Normal,4,14.420933322746407,2108,06-21 12:35:11
RDQN_Normal,4,14.420933322746407,2127,06-21 12:35:14
RDQN_Normal,4,14.420933322746407,2146,06-21 12:35:16
RDQN_Normal,4,14.420933322746407,2165,06-21 12:35:19
RDQN_Normal,4,14.420933322746407,2184,06-21 12:35:23
RDQN_Normal,4,14.420933322746407,2203,06-21 12:35:27
RDQN_Normal,4,14.420933322746407,2222,06-21 12:35:29
RDQN_Normal,4,14.420933322746407,2241,06-21 12:35:33
RDQN_Normal,4,14.420933322746407,2260,06-21 12:35:37
RDQN_Normal,4,14.420933322746407,2279,06-21 12:35:41
RDQN_Normal,4,14.420933322746407,2298,06-21 12:35:44
RDQN_Normal,4,14.420933322746407,2317,06-21 12:35:48
RDQN_Normal,4,14.420933322746407,2336,06-21 12:35:52
RDQN_Normal,4,14.420933322746407,2355,06-21 12:35:56
RDQN_Normal,4,14.420933322746407,2374,06-21 12:35:59
RDQN_Normal,4,14.420933322746407,2393,06-21 12:36:02
RDQN_Normal,4,14.420933322746407,2412,06-21 12:36:06
RDQN_Normal,4,14.420933322746407,2431,06-21 12:36:09
RDQN_Normal,4,14.420933322746407,2450,06-21 12:36:12
RDQN_Normal,4,14.420933322746407,2469,06-21 12:36:15
RDQN_Normal,4,14.420933322746407,2488,06-21 12:36:19
RDQN_Normal,4,14.420933322746407,2507,06-21 12:36:22
RDQN_Normal,4,14.420933322746407,2526,06-21 12:36:25
RDQN_Normal,4,14.420933322746407,2545,06-21 12:36:29
RDQN_Normal,4,14.420933322746407,2564,06-21 12:36:32
RDQN_Normal,4,14.420933322746407,2583,06-21 12:36:35
RDQN_Normal,4,14.420933322746407,2602,06-21 12:36:38
RDQN_Normal,4,14.420933322746407,2621,06-21 12:36:41
RDQN_Normal,4,14.420933322746407,2640,06-21 12:36:45
RDQN_Normal,4,14.420933322746407,2659,06-21 12:36:49
RDQN_Normal,4,14.420933322746407,2678,06-21 12:36:51
RDQN_Normal,4,14.420933322746407,2697,06-21 12:36:53
RDQN_Normal,4,14.420933322746407,2716,06-21 12:36:55
RDQN_Normal,4,14.420933322746407,2735,06-21 12:36:58
RDQN_Normal,4,14.420933322746407,2754,06-21 12:37:00
RDQN_Normal,4,14.420933322746407,2773,06-21 12:37:01
RDQN_Normal,4,14.420933322746407,2792,06-21 12:37:04
RDQN_Normal,4,14.420933322746407,2811,06-21 12:37:08
RDQN_Normal,4,14.420933322746407,2830,06-21 12:37:11
RDQN_Normal,4,14.420933322746407,2849,06-21 12:37:14
RDQN_Normal,4,14.420933322746407,2868,06-21 12:37:17
RDQN_Normal,4,14.420933322746407,2887,06-21 12:37:21
RDQN_Normal,4,14.420933322746407,2906,06-21 12:37:24
RDQN_Normal,4,14.420933322746407,2925,06-21 12:37:28
RDQN_Normal,4,14.420933322746407,2944,06-21 12:37:31
RDQN_Normal,4,14.420933322746407,2963,06-21 12:37:34
RDQN_Normal,4,14.420933322746407,2982,06-21 12:37:36
RDQN_Normal,4,14.420933322746407,3001,06-21 12:37:39
RDQN_Normal,4,14.420933322746407,3020,06-21 12:37:41
RDQN_Normal,4,14.420933322746407,3039,06-21 12:37:44
RDQN_Normal,4,14.420933322746407,3058,06-21 12:37:46
RDQN_Normal,4,14.420933322746407,3077,06-21 12:37:49
RDQN_Normal,4,14.420933322746407,3096,06-21 12:37:51
RDQN_Normal,4,14.420933322746407,3115,06-21 12:37:53
RDQN_Normal,4,14.420933322746407,3134,06-21 12:37:55
RDQN_Normal,4,14.420933322746407,3153,06-21 12:37:58
RDQN_Normal,4,14.420933322746407,3172,06-21 12:38:00
RDQN_Normal,4,14.420933322746407,3191,06-21 12:38:03
RDQN_Normal,4,14.420933322746407,3210,06-21 12:38:05
RDQN_Normal,4,14.420933322746407,3229,06-21 12:38:08
RDQN_Normal,4,14.420933322746407,3248,06-21 12:38:10
RDQN_Normal,4,14.420933322746407,3267,06-21 12:38:13
RDQN_Normal,4,14.420933322746407,3286,06-21 12:38:16
RDQN_Normal,4,14.420933322746407,3305,06-21 12:38:18
RDQN_Normal,4,14.420933322746407,3324,06-21 12:38:21
RDQN_Normal,4,14.420933322746407,3343,06-21 12:38:24
RDQN_Normal,4,14.420933322746407,3362,06-21 12:38:27
RDQN_Normal,4,14.420933322746407,3381,06-21 12:38:30
RDQN_Normal,4,14.420933322746407,3400,06-21 12:38:33
RDQN_Normal,4,14.420933322746407,3419,06-21 12:38:37
RDQN_Normal,4,14.420933322746407,3438,06-21 12:38:39
RDQN_Normal,4,14.420933322746407,3457,06-21 12:38:42
RDQN_Normal,4,14.420933322746407,3476,06-21 12:38:46
RDQN_Normal,4,14.420933322746407,3495,06-21 12:38:49
RDQN_Normal,4,14.420933322746407,3514,06-21 12:38:51
RDQN_Normal,4,14.420933322746407,3533,06-21 12:38:53
RDQN_Normal,4,14.420933322746407,3552,06-21 12:38:56
RDQN_Normal,4,14.420933322746407,3571,06-21 12:38:59
RDQN_Normal,4,14.420933322746407,3590,06-21 12:39:02
RDQN_Normal,4,14.420933322746407,3609,06-21 12:39:05
RDQN_Normal,4,14.420933322746407,3628,06-21 12:39:07
RDQN_Normal,4,14.420933322746407,3647,06-21 12:39:11
RDQN_Normal,4,14.420933322746407,3666,06-21 12:39:15
RDQN_Normal,4,14.420933322746407,3685,06-21 12:39:18
RDQN_Normal,4,14.420933322746407,3704,06-21 12:39:22
RDQN_Normal,4,14.420933322746407,3723,06-21 12:39:25
RDQN_Normal,4,14.420933322746407,3742,06-21 12:39:27
RDQN_Normal,4,14.420933322746407,3761,06-21 12:39:30
RDQN_Normal,4,14.420933322746407,3780,06-21 12:39:32
RDQN_Normal,4,14.420933322746407,3799,06-21 12:39:35
RDQN_Normal,4,14.420933322746407,3818,06-21 12:39:37
RDQN_Normal,4,14.420933322746407,3837,06-21 12:39:39
RDQN_Normal,4,14.420933322746407,3856,06-21 12:39:42
RDQN_Normal,4,14.420933322746407,3875,06-21 12:39:44
RDQN_Normal,4,14.420933322746407,3894,06-21 12:39:46
RDQN_Normal,4,1.6660447183419507,3897,06-21 12:39:47
RDQN_Normal,4,14.420933322746407,3916,06-21 12:39:49
RDQN_Normal,4,14.420933322746407,3935,06-21 12:39:52
RDQN_Normal,4,14.420933322746407,3954,06-21 12:39:55
RDQN_Normal,4,14.420933322746407,3973,06-21 12:39:58
RDQN_Normal,4,14.420933322746407,3992,06-21 12:40:00
RDQN_Normal,4,14.420933322746407,4011,06-21 12:40:03
RDQN_Normal,4,14.420933322746407,4030,06-21 12:40:06
RDQN_Normal,4,14.420933322746407,4049,06-21 12:40:08
RDQN_Normal,4,14.420933322746407,4068,06-21 12:40:11
RDQN_Normal,4,14.420933322746407,4087,06-21 12:40:14
RDQN_Normal,4,14.420933322746407,4106,06-21 12:40:17
RDQN_Normal,4,14.420933322746407,4125,06-21 12:40:19
RDQN_Normal,4,14.420933322746407,4144,06-21 12:40:21
RDQN_Normal,4,14.420933322746407,4163,06-21 12:40:23
RDQN_Normal,4,14.420933322746407,4182,06-21 12:40:24
RDQN_Normal,4,14.420933322746407,4201,06-21 12:40:27
RDQN_Normal,4,14.420933322746407,4220,06-21 12:40:29
RDQN_Normal,4,14.420933322746407,4239,06-21 12:40:30
RDQN_Normal,4,14.420933322746407,4258,06-21 12:40:32
RDQN_Normal,4,14.420933322746407,4277,06-21 12:40:34
RDQN_Normal,4,14.420933322746407,4296,06-21 12:40:38
RDQN_Normal,4,14.420933322746407,4315,06-21 12:40:42
RDQN_Normal,4,14.420933322746407,4334,06-21 12:40:45
RDQN_Normal,4,14.420933322746407,4353,06-21 12:40:47
RDQN_Normal,4,14.420933322746407,4372,06-21 12:40:49
RDQN_Normal,4,14.420933322746407,4391,06-21 12:40:52
RDQN_Normal,4,14.420933322746407,4410,06-21 12:40:54
RDQN_Normal,4,14.420933322746407,4429,06-21 12:40:57
RDQN_Normal,4,14.420933322746407,4448,06-21 12:41:00
RDQN_Normal,4,1.6660447183419507,4451,06-21 12:41:00
RDQN_Normal,4,1.6660447183419507,4454,06-21 12:41:01
RDQN_Normal,4,1.6660447183419507,4457,06-21 12:41:01
RDQN_Normal,4,14.420933322746407,4476,06-21 12:41:04
RDQN_Normal,4,14.420933322746407,4495,06-21 12:41:08
RDQN_Normal,4,14.420933322746407,4514,06-21 12:41:12
RDQN_Normal,4,14.420933322746407,4533,06-21 12:41:16
RDQN_Normal,4,14.420933322746407,4552,06-21 12:41:19
RDQN_Normal,4,14.420933322746407,4571,06-21 12:41:22
RDQN_Normal,4,14.420933322746407,4590,06-21 12:41:25
RDQN_Normal,4,14.420933322746407,4609,06-21 12:41:28
RDQN_Normal,4,14.420933322746407,4628,06-21 12:41:31
RDQN_Normal,4,1.6660447183419507,4631,06-21 12:41:31
RDQN_Normal,4,14.420933322746407,4650,06-21 12:41:34
RDQN_Normal,4,14.420933322746407,4669,06-21 12:41:37
RDQN_Normal,4,14.420933322746407,4688,06-21 12:41:41
RDQN_Normal,4,1.6882669405641728,4691,06-21 12:41:41
RDQN_Normal,4,1.6882669405641728,4694,06-21 12:41:41
RDQN_Normal,4,14.420933322746407,4713,06-21 12:41:44
RDQN_Normal,4,14.420933322746407,4732,06-21 12:41:47
RDQN_Normal,4,14.420933322746407,4751,06-21 12:41:51
RDQN_Normal,4,14.420933322746407,4770,06-21 12:41:54
RDQN_Normal,4,14.420933322746407,4789,06-21 12:41:56
RDQN_Normal,4,1.6660447183419507,4792,06-21 12:41:57
RDQN_Normal,4,14.420933322746407,4811,06-21 12:42:00
RDQN_Normal,4,14.420933322746407,4830,06-21 12:42:04
RDQN_Normal,4,14.420933322746407,4849,06-21 12:42:07
RDQN_Normal,4,14.420933322746407,4868,06-21 12:42:10
RDQN_Normal,4,14.420933322746407,4887,06-21 12:42:12
RDQN_Normal,4,14.420933322746407,4906,06-21 12:42:14
RDQN_Normal,4,14.420933322746407,4925,06-21 12:42:16
RDQN_Normal,4,14.420933322746407,4944,06-21 12:42:18
RDQN_Normal,4,14.420933322746407,4963,06-21 12:42:22
RDQN_Normal,4,1.6660447183419507,4966,06-21 12:42:22
RDQN_Normal,4,14.420933322746407,4985,06-21 12:42:25
RDQN_Normal,4,14.420933322746407,5004,06-21 12:42:28
RDQN_Normal,4,9.174030767729493,5016,06-21 12:42:30
RDQN_Normal,4,14.420933322746407,5035,06-21 12:42:33
RDQN_Normal,4,14.420933322746407,5054,06-21 12:42:36
RDQN_Normal,4,14.420933322746407,5073,06-21 12:42:39
RDQN_Normal,4,14.420933322746407,5092,06-21 12:42:42
RDQN_Normal,4,14.420933322746407,5111,06-21 12:42:46
RDQN_Normal,4,14.420933322746407,5130,06-21 12:42:49
RDQN_Normal,4,14.420933322746407,5149,06-21 12:42:51
RDQN_Normal,4,14.420933322746407,5168,06-21 12:42:54
RDQN_Normal,4,14.420933322746407,5187,06-21 12:42:57
RDQN_Normal,4,14.420933322746407,5206,06-21 12:43:01
RDQN_Normal,4,14.420933322746407,5225,06-21 12:43:04
RDQN_Normal,4,1.6660447183419507,5228,06-21 12:43:04
RDQN_Normal,4,1.6660447183419507,5231,06-21 12:43:05
RDQN_Normal,4,1.6660447183419507,5234,06-21 12:43:06
RDQN_Normal,4,1.6660447183419507,5237,06-21 12:43:07
RDQN_Normal,4,2.1309816141396696,5241,06-21 12:43:07
RDQN_Normal,4,1.6660447183419507,5244,06-21 12:43:08
RDQN_Normal,4,1.6660447183419507,5247,06-21 12:43:09
RDQN_Normal,4,1.6660447183419507,5250,06-21 12:43:09
RDQN_Normal,4,9.174030767729493,5262,06-21 12:43:11
RDQN_Normal,4,14.420933322746407,5281,06-21 12:43:15
RDQN_Normal,4,14.420933322746407,5300,06-21 12:43:19
RDQN_Normal,4,14.420933322746407,5319,06-21 12:43:23
RDQN_Normal,4,14.420933322746407,5338,06-21 12:43:26
RDQN_Normal,4,14.420933322746407,5357,06-21 12:43:29
RDQN_Normal,4,1.6660447183419507,5360,06-21 12:43:29
RDQN_Normal,4,9.174030767729493,5372,06-21 12:43:31
RDQN_Normal,4,1.6660447183419507,5375,06-21 12:43:32
RDQN_Normal,4,14.420933322746407,5394,06-21 12:43:35
RDQN_Normal,4,1.6660447183419507,5397,06-21 12:43:36
RDQN_Normal,4,14.420933322746407,5416,06-21 12:43:39
RDQN_Normal,4,2.085647004096102,5420,06-21 12:43:40
RDQN_Normal,4,1.6660447183419507,5423,06-21 12:43:40
RDQN_Normal,4,9.174030767729493,5435,06-21 12:43:42
RDQN_Normal,4,1.6660447183419507,5438,06-21 12:43:42
RDQN_Normal,4,14.420933322746407,5457,06-21 12:43:45
RDQN_Normal,4,2.085647004096102,5461,06-21 12:43:45
RDQN_Normal,4,9.174030767729493,5473,06-21 12:43:47
RDQN_Normal,4,14.420933322746407,5492,06-21 12:43:50
RDQN_Normal,4,14.420933322746407,5511,06-21 12:43:53
RDQN_Normal,4,2.085647004096102,5515,06-21 12:43:54
RDQN_Normal,4,2.085647004096102,5519,06-21 12:43:55
RDQN_Normal,4,9.174030767729493,5531,06-21 12:43:57
RDQN_Normal,4,1.6660447183419507,5534,06-21 12:43:57
RDQN_Normal,4,14.420933322746407,5553,06-21 12:44:01
RDQN_Normal,4,14.420933322746407,5572,06-21 12:44:06
RDQN_Normal,4,14.420933322746407,5591,06-21 12:44:09
RDQN_Normal,4,14.420933322746407,5610,06-21 12:44:12
RDQN_Normal,4,14.420933322746407,5629,06-21 12:44:16
RDQN_Normal,4,9.174030767729493,5641,06-21 12:44:18
RDQN_Normal,4,14.420933322746407,5660,06-21 12:44:22
RDQN_Normal,4,14.420933322746407,5679,06-21 12:44:26
RDQN_Normal,4,9.174030767729493,5691,06-21 12:44:28
RDQN_Normal,4,14.420933322746407,5710,06-21 12:44:31
RDQN_Normal,4,2.085647004096102,5714,06-21 12:44:32
RDQN_Normal,4,14.420933322746407,5733,06-21 12:44:35
RDQN_Normal,4,14.420933322746407,5752,06-21 12:44:38
RDQN_Normal,4,1.6660447183419507,5755,06-21 12:44:39
RDQN_Normal,4,1.6660447183419507,5758,06-21 12:44:39
RDQN_Normal,4,14.420933322746407,5777,06-21 12:44:43
RDQN_Normal,4,2.26342478187388,5781,06-21 12:44:43
RDQN_Normal,4,1.6660447183419507,5784,06-21 12:44:44
RDQN_Normal,4,2.085647004096102,5788,06-21 12:44:44
RDQN_Normal,4,1.6660447183419507,5791,06-21 12:44:45
RDQN_Normal,4,14.420933322746407,5810,06-21 12:44:49
RDQN_Normal,4,14.420933322746407,5829,06-21 12:44:52
RDQN_Normal,4,14.420933322746407,5848,06-21 12:44:56
RDQN_Normal,4,14.420933322746407,5867,06-21 12:44:59
RDQN_Normal,4,14.420933322746407,5886,06-21 12:45:03
RDQN_Normal,4,14.420933322746407,5905,06-21 12:45:06
RDQN_Normal,4,1.6660447183419507,5908,06-21 12:45:06
RDQN_Normal,4,2.085647004096102,5912,06-21 12:45:07
RDQN_Normal,4,2.085647004096102,5916,06-21 12:45:08
RDQN_Normal,4,14.420933322746407,5935,06-21 12:45:11
RDQN_Normal,4,1.6660447183419507,5938,06-21 12:45:12
RDQN_Normal,4,2.085647004096102,5942,06-21 12:45:13
RDQN_Normal,4,2.84239721301885,5947,06-21 12:45:14
RDQN_Normal,4,1.6660447183419507,5950,06-21 12:45:14
RDQN_Normal,4,9.174030767729493,5962,06-21 12:45:16
RDQN_Normal,4,1.6660447183419507,5965,06-21 12:45:17
RDQN_Normal,4,1.6660447183419507,5968,06-21 12:45:17
RDQN_Normal,4,1.6660447183419507,5971,06-21 12:45:18
RDQN_Normal,4,14.420933322746407,5990,06-21 12:45:22
RDQN_Normal,4,14.420933322746407,6009,06-21 12:45:25
RDQN_Normal,4,9.174030767729493,6021,06-21 12:45:27
RDQN_Normal,4,9.174030767729493,6033,06-21 12:45:29
RDQN_Normal,4,1.6660447183419507,6036,06-21 12:45:29
RDQN_Normal,4,1.6660447183419507,6039,06-21 12:45:30
RDQN_Normal,4,2.085647004096102,6043,06-21 12:45:31
RDQN_Normal,4,9.86772948638451,6056,06-21 12:45:33
RDQN_Normal,4,1.6660447183419507,6059,06-21 12:45:34
RDQN_Normal,4,1.6660447183419507,6062,06-21 12:45:34
RDQN_Normal,4,1.6660447183419507,6065,06-21 12:45:35
RDQN_Normal,4,1.6660447183419507,6068,06-21 12:45:35
RDQN_Normal,4,1.6660447183419507,6071,06-21 12:45:36
RDQN_Normal,4,1.6660447183419507,6074,06-21 12:45:36
RDQN_Normal,4,1.6660447183419507,6077,06-21 12:45:37
RDQN_Normal,4,1.0849003065400329,6079,06-21 12:45:37
RDQN_Normal,4,1.6660447183419507,6082,06-21 12:45:38
RDQN_Normal,4,1.6660447183419507,6085,06-21 12:45:38
RDQN_Normal,4,1.6660447183419507,6088,06-21 12:45:39
