,Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
0,PPO,42,-2270.01,4002,314,2.080014919,2024/5/12 14:10
1,PPO,42,-2160.15,7880,368,1.240439797,2024/5/12 14:11
2,PPO,42,-1383.35,2666,219,2.602961592,2024/5/12 14:13
3,PPO,42,-121.03,1075,30,8.674418511,2024/5/12 14:14
4,PPO,42,-296.92,693,39,4.157591913,2024/5/12 14:15
5,PPO,42,-1079.75,21147,264,1.050959979,2024/5/12 14:16
6,PPO,42,-558.16,3482,81,3.398162369,2024/5/12 14:16
7,PPO,42,-501.06,665,46,4.22088033,2024/5/12 14:17
8,PPO,42,-436.42,4425,61,2.379308581,2024/5/12 14:18
9,PPO,42,-1095.54,5360,172,1.747904857,2024/5/12 14:19
10,PPO,42,-592.31,5163,79,2.304881317,2024/5/12 14:20
11,PPO,42,-318.11,1296,58,4.657535504,2024/5/12 14:20
12,PPO,42,-386.85,437,45,4.951092845,2024/5/12 14:21
13,PPO,42,-648.25,1148,70,2.508702238,2024/5/12 14:22
14,PPO,42,-381.82,1852,52,3.310422261,2024/5/12 14:22
15,PPO,42,-630.95,2096,62,3.524350753,2024/5/12 14:23
16,PPO,42,-385.18,1995,66,5.648306613,2024/5/12 14:24
17,PPO,42,-923.44,8635,123,2.858142807,2024/5/12 14:25
18,PPO,42,-562.16,1941,70,2.579905074,2024/5/12 14:26
19,PPO,42,-391.82,1280,55,4.074187493,2024/5/12 14:26
20,PPO,42,-277.92,1839,35,4.151645092,2024/5/12 14:27
21,PPO,42,-283.39,2727,68,4.148304502,2024/5/12 14:27
22,PPO,42,-224.04,744,36,6.370398923,2024/5/12 14:28
23,PPO,42,-209.25,513,26,5.074392079,2024/5/12 14:29
24,PPO,42,-274.45,1302,61,4.212665381,2024/5/12 14:29
25,PPO,42,-138.1,2060,29,4.804282587,2024/5/12 14:30
26,PPO,42,-283.06,1754,39,3.948916423,2024/5/12 14:31
27,PPO,42,-227.54,2192,34,4.755544763,2024/5/12 14:31
28,PPO,42,-75.18,561,18,8.279181661,2024/5/12 14:32
29,PPO,42,-278.59,1030,65,4.436035487,2024/5/12 14:33
30,PPO,42,-26.63,961,19,5.277416284,2024/5/12 14:33
