Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_expert,42,-7898.44,553,06-20 11:20:17
RDQN~cvae_expert,42,-1782.84,2141,06-20 11:20:46
RDQN~cvae_expert,42,-1781.67,3959,06-20 11:21:08
RDQN~cvae_expert,42,-250.42,10810,06-20 11:21:37
RDQN~cvae_expert,42,-1342.27,14525,06-20 11:22:01
RDQN~cvae_expert,42,-1298.82,15231,06-20 11:22:21
RDQN~cvae_expert,42,-610.67,15784,06-20 11:22:41
RDQN~cvae_expert,42,-181.67,16490,06-20 11:23:02
RDQN~cvae_expert,42,-210.58,17196,06-20 11:23:23
RDQN~cvae_expert,42,-458.2,17749,06-20 11:23:44
RDQN~cvae_expert,42,-107.33,18455,06-20 11:24:04
RDQN~cvae_expert,42,-152.08,19008,06-20 11:24:24
RDQN~cvae_expert,42,-58.62,19714,06-20 11:24:44
RDQN~cvae_expert,42,-79.72,20000,06-20 11:25:04
RDQN~cvae_expert,42,-31.12,20000,06-20 11:25:24
RDQN~cvae_expert,42,-68.32,20000,06-20 11:25:43
RDQN~cvae_expert,42,-7.469999999999999,20000,06-20 11:26:01
RDQN~cvae_expert,42,-26.99,20000,06-20 11:26:18
RDQN~cvae_expert,42,-47.53,20000,06-20 11:26:37
RDQN~cvae_expert,42,-10.65,20000,06-20 11:26:56
RDQN~cvae_expert,42,-13.02,20000,06-20 11:27:15
RDQN~cvae_expert,42,-25.8,20000,06-20 11:27:34
RDQN~cvae_expert,42,-178.2,20000,06-20 11:27:52
RDQN~cvae_expert,42,-6.12,20000,06-20 11:28:12
RDQN~cvae_expert,42,-89.69,20000,06-20 11:28:30
RDQN~cvae_expert,42,-51.66,20000,06-20 11:28:48
RDQN~cvae_expert,42,-63.33,20000,06-20 11:29:05
RDQN~cvae_expert,42,-222.55,20000,06-20 11:29:23
RDQN~cvae_expert,42,-71.43,20000,06-20 11:29:40
RDQN~cvae_expert,42,-123.57,20000,06-20 11:29:58
