Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_expert,45,-8137.34,553,06-20 11:52:07
RDQN~cvae_expert,45,-1531.41,2141,06-20 11:52:39
RDQN~cvae_expert,45,-1168.9,3959,06-20 11:53:08
RDQN~cvae_expert,45,-1810.26,10810,06-20 11:53:43
RDQN~cvae_expert,45,-264.61,14525,06-20 11:54:07
RDQN~cvae_expert,45,-87.61,15231,06-20 11:54:27
RDQN~cvae_expert,45,-160.19,15784,06-20 11:54:50
RDQN~cvae_expert,45,-251.6,16490,06-20 11:55:10
RDQN~cvae_expert,45,-64.94,17196,06-20 11:55:29
RDQN~cvae_expert,45,-54.17,17749,06-20 11:55:48
RDQN~cvae_expert,45,-50.43,18455,06-20 11:56:06
RDQN~cvae_expert,45,-83.59,19008,06-20 11:56:25
RDQN~cvae_expert,45,-8.89,19714,06-20 11:56:44
RDQN~cvae_expert,45,-13.69,20000,06-20 11:57:04
RDQN~cvae_expert,45,-48.91,20000,06-20 11:57:26
RDQN~cvae_expert,45,-0.7000000000000002,20000,06-20 11:57:45
RDQN~cvae_expert,45,-9.95,20000,06-20 11:58:04
RDQN~cvae_expert,45,-11.82,20000,06-20 11:58:23
RDQN~cvae_expert,45,-54.33,20000,06-20 11:58:41
RDQN~cvae_expert,45,-45.25,20000,06-20 11:58:59
RDQN~cvae_expert,45,-38.01,20000,06-20 11:59:18
RDQN~cvae_expert,45,-95.97,20000,06-20 11:59:37
RDQN~cvae_expert,45,-33.95,20000,06-20 11:59:56
RDQN~cvae_expert,45,-22.03,20000,06-20 12:00:14
RDQN~cvae_expert,45,-37.85,20000,06-20 12:00:33
RDQN~cvae_expert,45,-43.66,20000,06-20 12:00:51
RDQN~cvae_expert,45,-111.04,20000,06-20 12:01:08
RDQN~cvae_expert,45,-123.76,20000,06-20 12:01:25
RDQN~cvae_expert,45,-54.39,20000,06-20 12:01:43
RDQN~cvae_expert,45,-40.25,20000,06-20 12:02:00
