Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_regular,44,-2754.05,553,06-20 11:38:54
RDQN~cvae_regular,44,-238.0,2141,06-20 11:39:12
RDQN~cvae_regular,44,-336.86,3959,06-20 11:39:38
RDQN~cvae_regular,44,-890.11,10810,06-20 11:39:59
RDQN~cvae_regular,44,-486.32,14525,06-20 11:40:18
RDQN~cvae_regular,44,-759.69,15231,06-20 11:40:36
RDQN~cvae_regular,44,-928.63,15784,06-20 11:40:56
RDQN~cvae_regular,44,-918.19,16490,06-20 11:41:13
RDQN~cvae_regular,44,-183.21,17196,06-20 11:41:30
RDQN~cvae_regular,44,-296.68,17749,06-20 11:41:48
RDQN~cvae_regular,44,-68.15,18455,06-20 11:42:07
RDQN~cvae_regular,44,-153.83,19008,06-20 11:42:26
RDQN~cvae_regular,44,-60.81,19714,06-20 11:42:45
RDQN~cvae_regular,44,-120.72,20000,06-20 11:43:03
RDQN~cvae_regular,44,-47.45,20000,06-20 11:43:21
RDQN~cvae_regular,44,-18.87,20000,06-20 11:43:41
RDQN~cvae_regular,44,-101.48,20000,06-20 11:43:58
RDQN~cvae_regular,44,-175.06,20000,06-20 11:44:17
RDQN~cvae_regular,44,-21.16,20000,06-20 11:44:35
RDQN~cvae_regular,44,-2.08,20000,06-20 11:44:53
RDQN~cvae_regular,44,-18.34,20000,06-20 11:45:09
RDQN~cvae_regular,44,-191.0,20000,06-20 11:45:27
RDQN~cvae_regular,44,-48.97,20000,06-20 11:45:44
RDQN~cvae_regular,44,-15.1,20000,06-20 11:46:01
RDQN~cvae_regular,44,-5.38,20000,06-20 11:46:18
RDQN~cvae_regular,44,-34.59,20000,06-20 11:46:34
RDQN~cvae_regular,44,-82.65,20000,06-20 11:46:51
RDQN~cvae_regular,44,-36.21,20000,06-20 11:47:09
RDQN~cvae_regular,44,-158.86,20000,06-20 11:47:25
RDQN~cvae_regular,44,-4.1,20000,06-20 11:47:41
