Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~cvae,42,-2270.01,4002.0,314,2.080014918990428,06-13 14:28:20
PPO~cvae,42,-2293.49,9732.0,321,1.4621615773802845,06-13 14:28:30
PPO~cvae,42,-1069.93,2987.0,163,2.3756653342185357,06-13 14:28:38
PPO~cvae,42,-431.31,774.0,84,3.3106776822344735,06-13 14:28:46
PPO~cvae,42,-107.21,172.0,10,8.45841624678016,06-13 14:28:54
PPO~cvae,42,-548.02,2205.0,66,3.289244956360692,06-13 14:29:01
PPO~cvae,42,-469.05,1980.0,66,3.5258911663862467,06-13 14:29:07
PPO~cvae,42,-727.55,834.0,68,2.8538862507086153,06-13 14:29:13
PPO~cvae,42,-893.01,2573.0,79,2.607140767320164,06-13 14:29:20
PPO~cvae,42,-489.1,6648.0,64,3.1506829858766445,06-13 14:29:27
PPO~cvae,42,-496.58,1589.0,51,3.329769098973064,06-13 14:29:33
PPO~cvae,42,-942.45,3491.0,108,3.319665766819163,06-13 14:29:39
PPO~cvae,42,-540.09,2905.0,65,2.5959962765922464,06-13 14:29:45
PPO~cvae,42,-509.26,2216.0,60,2.724036445718554,06-13 14:29:50
PPO~cvae,42,-422.28,2120.0,66,3.875774589349479,06-13 14:29:56
PPO~cvae,42,-450.47,1157.0,48,3.226414924395489,06-13 14:30:03
PPO~cvae,42,-412.07,1685.0,62,3.3824878940035186,06-13 14:30:09
PPO~cvae,42,-286.68,527.0,41,4.43921255668825,06-13 14:30:15
PPO~cvae,42,-289.88,244.0,29,4.465516225282199,06-13 14:30:21
PPO~cvae,42,-538.09,2892.0,84,3.159039472066209,06-13 14:30:28
PPO~cvae,42,-325.45,526.0,38,4.419337553548412,06-13 14:30:33
PPO~cvae,42,-217.15,1242.0,37,4.892274569001553,06-13 14:30:39
PPO~cvae,42,-116.62,486.0,28,3.891124398539285,06-13 14:30:44
PPO~cvae,42,-618.88,1734.0,103,3.847825526489304,06-13 14:30:50
PPO~cvae,42,-59.01,26.0,6,6.81804266986673,06-13 14:30:56
PPO~cvae,42,-326.05,883.0,56,4.575724069559577,06-13 14:31:01
PPO~cvae,42,-92.39,1302.0,18,8.030810241310471,06-13 14:31:07
PPO~cvae,42,-119.19,1004.0,29,5.523773797858376,06-13 14:31:12
PPO~cvae,42,-95.02,847.0,18,7.134527347545239,06-13 14:31:17
PPO~cvae,42,-156.98,1477.0,37,3.873170133969971,06-13 14:31:22
PPO~cvae,42,-147.8,841.0,29,5.425970821514547,06-13 14:31:27
PPO~cvae,42,-173.51,2835.0,38,2.729357017044734,06-13 14:31:32
PPO~cvae,42,-97.76,2226.0,20,7.001880038799888,06-13 14:31:37
PPO~cvae,42,-37.21,490.0,11,8.562479170487249,06-13 14:31:40
PPO~cvae,42,-58.95,810.0,14,6.793654882625227,06-13 14:31:44
PPO~cvae,42,-71.99,423.0,20,6.844491728874246,06-13 14:31:48
PPO~cvae,42,-27.33,243.0,8,7.503311605981596,06-13 14:31:51
PPO~cvae,42,-35.63,147.0,9,5.986368011317458,06-13 14:31:55
PPO~cvae,42,-71.82,208.0,16,7.140888163205461,06-13 14:31:58
PPO~cvae,42,-57.43,1740.0,29,4.058079172333012,06-13 14:32:02
PPO~cvae,42,-11.23,739.0,12,6.296353539779723,06-13 14:32:05
PPO~cvae,42,-15.86,126.0,5,9.326113880212672,06-13 14:32:09
PPO~cvae,42,-23.52,801.0,18,6.865646837623905,06-13 14:32:13
PPO~cvae,42,-69.46,1484.0,33,5.739819839743504,06-13 14:32:17
PPO~cvae,42,-42.66,64.0,7,7.963549949289764,06-13 14:32:21
PPO~cvae,42,-47.24,491.0,13,6.848718671436996,06-13 14:32:25
PPO~cvae,42,-45.07,626.0,13,7.904934699140914,06-13 14:32:29
PPO~cvae,42,-4.32,317.0,7,10.74151610698765,06-13 14:32:33
PPO~cvae,42,-41.23,3069.0,25,5.90752234199787,06-13 14:32:36
PPO~cvae,42,-24.27,227.0,13,7.880002452685047,06-13 14:32:40
PPO~cvae,42,-19.87,357.0,18,8.0983281696508,06-13 14:32:45
PPO~cvae,42,-43.1,621.0,25,6.397377304981018,06-13 14:32:49
PPO~cvae,42,-115.41,271.0,25,4.546588335705442,06-13 14:32:53
