Algorithm,Seed,Return,Log time
DQN~test,42,5.120177606372851,06-14 19:32:48
DQN~test,42,4.133378710771715,06-14 19:32:48
DQN~test,42,5.581311542860602,06-14 19:32:48
DQN~test,42,3.5463752697381086,06-14 19:32:48
DQN~test,42,4.915769058663806,06-14 19:32:49
DQN~test,42,7.830599569211039,06-14 19:32:49
DQN~test,42,0.9,06-14 19:32:49
DQN~test,42,0.7999999999999999,06-14 19:32:49
DQN~test,42,3.666666666666667,06-14 19:32:49
DQN~test,42,1.484224965706447,06-14 19:32:49
DQN~test,42,10.545980557312511,06-14 19:32:49
DQN~test,42,5.599491688153219,06-14 19:32:50
DQN~test,42,10.15032653871678,06-14 19:32:50
DQN~test,42,1.7654653579803719,06-14 19:32:50
DQN~test,42,1.0157750342935528,06-14 19:32:50
DQN~test,42,3.98437066839985,06-14 19:32:50
DQN~test,42,1.8824417009602195,06-14 19:32:50
DQN~test,42,3.8116169837632485,06-14 19:32:50
DQN~test,42,0.8993780516752842,06-14 19:32:50
DQN~test,42,0.9157750342935529,06-14 19:32:50
DQN~test,42,0.7993780516752841,06-14 19:32:50
DQN~test,42,1.6327113850086175,06-14 19:32:51
DQN~test,42,2.5657299262710276,06-14 19:32:51
DQN~test,42,3.9686999630097066,06-14 19:32:51
DQN~test,42,3.331026409628295,06-14 19:32:51
DQN~test,42,1.6508916323731142,06-14 19:32:51
DQN~test,42,8.319018411675618,06-14 19:32:51
DQN~test,42,3.5792027266244393,06-14 19:32:52
DQN~test,42,7.7003776912858575,06-14 19:32:52
DQN~test,42,5.698487605222292,06-14 19:32:52
DQN~test,42,1.6320452583158458,06-14 19:32:52
DQN~test,42,3.019551498228223,06-14 19:32:52
DQN~test,42,8.318662800722906,06-14 19:32:52
DQN~test,42,5.867388995988066,06-14 19:32:53
DQN~test,42,13.919320096240071,06-14 19:32:53
DQN~test,42,1.717727321731882,06-14 19:32:53
DQN~test,42,5.063162366077681,06-14 19:32:53
DQN~test,42,1.9337043197543133,06-14 19:32:54
DQN~test,42,5.333060401317297,06-14 19:32:54
DQN~test,42,6.680978259252917,06-14 19:32:54
DQN~test,42,1.8,06-14 19:32:54
DQN~test,42,2.5175582990397807,06-14 19:32:54
DQN~test,42,0.9491083676268861,06-14 19:32:54
DQN~test,42,9.820215088291969,06-14 19:32:55
DQN~test,42,4.479672794031373,06-14 19:32:55
DQN~test,42,2.268355381032033,06-14 19:32:55
DQN~test,42,3.5523560055330425,06-14 19:32:55
DQN~test,42,6.4179089632188,06-14 19:32:55
DQN~test,42,12.964608116874881,06-14 19:32:56
DQN~test,42,4.064802024192103,06-14 19:32:56
DQN~test,42,7.199378284216268,06-14 19:32:56
DQN~test,42,0.9516399241073341,06-14 19:32:56
DQN~test,42,14.851284383608103,06-14 19:32:57
DQN~test,42,4.819870503028558,06-14 19:32:57
DQN~test,42,1.5993772769048251,06-14 19:32:57
DQN~test,42,3.5820971160375072,06-14 19:32:57
DQN~test,42,2.7523776660911192,06-14 19:32:57
DQN~test,42,1.8824417009602195,06-14 19:32:57
DQN~test,42,2.3003044877680696,06-14 19:32:57
DQN~test,42,5.0987995808812325,06-14 19:32:58
DQN~test,42,2.8134628303047755,06-14 19:32:58
DQN~test,42,1.1182336398733663,06-14 19:32:58
DQN~test,42,6.584265074919454,06-14 19:32:58
DQN~test,42,0.8993780516752842,06-14 19:32:58
DQN~test,42,1.8801294969714422,06-14 19:32:58
DQN~test,42,0.9491083676268861,06-14 19:32:58
DQN~test,42,5.633287260548944,06-14 19:32:58
DQN~test,42,13.965279098983029,06-14 19:32:59
DQN~test,42,3.2670112515893788,06-14 19:32:59
DQN~test,42,5.086887730247684,06-14 19:32:59
DQN~test,42,0.9157750342935529,06-14 19:32:59
DQN~test,42,5.76932346001262,06-14 19:32:59
DQN~test,42,2.4198705030285588,06-14 19:32:59
DQN~test,42,1.7491083676268862,06-14 19:32:59
DQN~test,42,3.4660439427918615,06-14 19:33:00
DQN~test,42,5.917959497217419,06-14 19:33:00
DQN~test,42,0.8169348124733156,06-14 19:33:00
DQN~test,42,5.452930976878971,06-14 19:33:00
DQN~test,42,4.250480678759326,06-14 19:33:00
DQN~test,42,1.386537169695225,06-14 19:33:00
DQN~test,42,1.7654653579803719,06-14 19:33:00
DQN~test,42,1.8,06-14 19:33:00
DQN~test,42,2.6327113850086175,06-14 19:33:01
DQN~test,42,4.778700471342217,06-14 19:33:01
DQN~test,42,2.966119299478863,06-14 19:33:01
DQN~test,42,1.6987986913137054,06-14 19:33:01
DQN~test,42,0.8333333333333334,06-14 19:33:01
DQN~test,42,2.4169355743565797,06-14 19:33:01
DQN~test,42,2.5,06-14 19:33:01
DQN~test,42,2.979354294769781,06-14 19:33:02
DQN~test,42,9.03367556190662,06-14 19:33:02
DQN~test,42,3.0827862858829316,06-14 19:33:02
DQN~test,42,1.6666666666666667,06-14 19:33:02
DQN~test,42,3.2982180338942517,06-14 19:33:02
DQN~test,42,6.918331886098466,06-14 19:33:03
DQN~test,42,17.563965629650507,06-14 19:33:03
DQN~test,42,4.0189803374294355,06-14 19:33:03
DQN~test,42,6.778580703167743,06-14 19:33:04
DQN~test,42,3.419667056173686,06-14 19:33:04
DQN~test,42,4.730173526098862,06-14 19:33:04
DQN~test,42,5.365722351249008,06-14 19:33:04
DQN~test,42,1.0327113850086174,06-14 19:33:04
DQN~test,42,10.249343526649907,06-14 19:33:05
DQN~test,42,25.412183924742568,06-14 19:33:06
DQN~test,42,7.686887833874245,06-14 19:33:06
DQN~test,42,10.200350650296555,06-14 19:33:06
DQN~test,42,5.5120187034876915,06-14 19:33:07
DQN~test,42,2.9868817546179374,06-14 19:33:07
DQN~test,42,2.6461738810591915,06-14 19:33:07
DQN~test,42,3.9522186060836937,06-14 19:33:07
DQN~test,42,1.5532038363618916,06-14 19:33:07
DQN~test,42,5.446446298431657,06-14 19:33:07
DQN~test,42,4.669323455578157,06-14 19:33:08
DQN~test,42,4.247241504888171,06-14 19:33:08
DQN~test,42,3.052580343816662,06-14 19:33:08
DQN~test,42,3.7516538728417044,06-14 19:33:08
DQN~test,42,5.920221167207578,06-14 19:33:09
DQN~test,42,2.6484856442110303,06-14 19:33:09
DQN~test,42,15.351323467071174,06-14 19:33:09
DQN~test,42,5.0836992809376405,06-14 19:33:10
DQN~test,42,4.012239179751355,06-14 19:33:10
DQN~test,42,4.598399541529188,06-14 19:33:10
DQN~test,42,1.0491083676268862,06-14 19:33:10
DQN~test,42,0.7999999999999999,06-14 19:33:10
DQN~test,42,3.5350599000391156,06-14 19:33:10
DQN~test,42,2.450268907689913,06-14 19:33:11
DQN~test,42,7.586844193499831,06-14 19:33:11
DQN~test,42,2.399377276125195,06-14 19:33:11
DQN~test,42,2.913158342536706,06-14 19:33:11
DQN~test,42,1.6320452583158458,06-14 19:33:11
DQN~test,42,1.8467961636381087,06-14 19:33:11
DQN~test,42,4.152355840985497,06-14 19:33:12
DQN~test,42,7.668661329083173,06-14 19:33:12
DQN~test,42,4.020174990796628,06-14 19:33:12
DQN~test,42,4.296760584827295,06-14 19:33:13
DQN~test,42,2.385647004096102,06-14 19:33:13
DQN~test,42,1.0491083676268862,06-14 19:33:13
DQN~test,42,3.653508324129961,06-14 19:33:13
DQN~test,42,8.533030673706344,06-14 19:33:13
DQN~test,42,2.186537169695225,06-14 19:33:14
DQN~test,42,3.2509317295277564,06-14 19:33:14
DQN~test,42,6.712652029165814,06-14 19:33:14
DQN~test,42,1.6327106102381586,06-14 19:33:14
DQN~test,42,7.299395207153697,06-14 19:33:14
DQN~test,42,7.730083757612054,06-14 19:33:15
DQN~test,42,6.068164343138025,06-14 19:33:15
DQN~test,42,0.9824417009602194,06-14 19:33:15
DQN~test,42,4.311680549239657,06-14 19:33:15
DQN~test,42,1.953097444983092,06-14 19:33:15
DQN~test,42,10.420220459803206,06-14 19:33:16
DQN~test,42,2.9134628303047756,06-14 19:33:16
DQN~test,42,4.05355439691435,06-14 19:33:16
DQN~test,42,2.853203836361892,06-14 19:33:16
DQN~test,42,3.6852291552670557,06-14 19:33:17
DQN~test,42,19.3327663656762,06-14 19:33:17
DQN~test,42,10.002358277013983,06-14 19:33:18
DQN~test,42,4.7674157743829415,06-14 19:33:18
DQN~test,42,1.0196670561736862,06-14 19:33:18
DQN~test,42,12.99854385355852,06-14 19:33:19
DQN~test,42,6.419318824296077,06-14 19:33:19
DQN~test,42,6.999655518703849,06-14 19:33:19
DQN~test,42,0.9491083676268862,06-14 19:33:19
DQN~test,42,5.331468293385327,06-14 19:33:19
DQN~test,42,5.700000093378095,06-14 19:33:20
DQN~test,42,10.000310568853061,06-14 19:33:20
DQN~test,42,4.046451578715396,06-14 19:33:20
DQN~test,42,11.917962309015813,06-14 19:33:21
DQN~test,42,1.666044718341951,06-14 19:33:21
DQN~test,42,9.281270590030982,06-14 19:33:22
DQN~test,42,2.2689788706554443,06-14 19:33:22
DQN~test,42,3.8973432110885096,06-14 19:33:22
DQN~test,42,6.767767196116853,06-14 19:33:22
DQN~test,42,3.7202203682350095,06-14 19:33:22
DQN~test,42,2.7123783331551734,06-14 19:33:23
DQN~test,42,3.965471047529533,06-14 19:33:23
DQN~test,42,1.4856470040961025,06-14 19:33:23
DQN~test,42,2.6494128553949556,06-14 19:33:23
DQN~test,42,3.735685634476754,06-14 19:33:23
DQN~test,42,3.0787320067316504,06-14 19:33:23
DQN~test,42,2.6494128553949556,06-14 19:33:24
DQN~test,42,3.6144861353060893,06-14 19:33:24
DQN~test,42,3.4801294969714416,06-14 19:33:24
DQN~test,42,0.9,06-14 19:33:24
DQN~test,42,6.550037768465275,06-14 19:33:24
DQN~test,42,4.618668465381956,06-14 19:33:25
DQN~test,42,2.8635875579904004,06-14 19:33:25
DQN~test,42,1.815775034293553,06-14 19:33:25
DQN~test,42,4.433287955894952,06-14 19:33:25
DQN~test,42,1.6653785916491792,06-14 19:33:25
DQN~test,42,1.0491083676268862,06-14 19:33:25
DQN~test,42,1.0157750342935528,06-14 19:33:25
DQN~test,42,7.78479811254681,06-14 19:33:26
DQN~test,42,1.848486085051929,06-14 19:33:26
DQN~test,42,5.934447239342579,06-14 19:33:26
DQN~test,42,4.232037899096918,06-14 19:33:26
DQN~test,42,11.73303413973606,06-14 19:33:27
DQN~test,42,2.5478199378352624,06-14 19:33:27
DQN~test,42,2.781514930580226,06-14 19:33:27
DQN~test,42,8.185584702764427,06-14 19:33:27
DQN~test,42,6.196965248934783,06-14 19:33:28
DQN~test,42,4.786887034901676,06-14 19:33:28
DQN~test,42,4.102352301143421,06-14 19:33:28
DQN~test,42,2.053508324129961,06-14 19:33:28
DQN~test,42,6.3801296005980035,06-14 19:33:28
DQN~test,42,9.034402574952829,06-14 19:33:29
DQN~test,42,3.4868817546179374,06-14 19:33:29
DQN~test,42,3.1359901222448237,06-14 19:33:29
DQN~test,42,3.666626569512024,06-14 19:33:29
DQN~test,42,2.4198705030285588,06-14 19:33:30
DQN~test,42,2.8131583425367057,06-14 19:33:30
DQN~test,42,3.2988043808628666,06-14 19:33:30
DQN~test,42,9.263463396231435,06-14 19:33:30
DQN~test,42,26.318943672842604,06-14 19:33:31
DQN~test,42,5.618580785006945,06-14 19:33:32
DQN~test,42,4.851669704175454,06-14 19:33:32
DQN~test,42,3.7193266854855356,06-14 19:33:32
DQN~test,42,3.653203836361892,06-14 19:33:32
DQN~test,42,0.8993780516752842,06-14 19:33:32
DQN~test,42,5.635372696874272,06-14 19:33:33
DQN~test,42,5.469329431207902,06-14 19:33:33
DQN~test,42,1.764354462677889,06-14 19:33:33
DQN~test,42,6.549108461309481,06-14 19:33:33
DQN~test,42,3.7333787107717153,06-14 19:33:33
DQN~test,42,0.8327113850086175,06-14 19:33:33
DQN~test,42,1.5999999999999999,06-14 19:33:34
DQN~test,42,4.865438239999758,06-14 19:33:34
DQN~test,42,1.0491083676268862,06-14 19:33:34
DQN~test,42,4.0485015079652396,06-14 19:33:34
DQN~test,42,8.819438957639537,06-14 19:33:34
DQN~test,42,0.9157750342935529,06-14 19:33:34
DQN~test,42,1.5198705030285584,06-14 19:33:35
DQN~test,42,4.268705243293401,06-14 19:33:35
DQN~test,42,1.4689788706554445,06-14 19:33:35
DQN~test,42,12.843986816039855,06-14 19:33:36
DQN~test,42,1.5198705030285584,06-14 19:33:36
DQN~test,42,12.213464750540462,06-14 19:33:36
DQN~test,42,1.9134628303047752,06-14 19:33:36
DQN~test,42,2.8131583425367057,06-14 19:33:37
DQN~test,42,1.5521663190095247,06-14 19:33:37
DQN~test,42,1.0484860850519289,06-14 19:33:37
DQN~test,42,0.9491083676268861,06-14 19:33:37
DQN~test,42,28.079474755658396,06-14 19:33:38
DQN~test,42,2.0193014215156957,06-14 19:33:38
DQN~test,42,3.4320444346864107,06-14 19:33:38
DQN~test,42,0.9491083676268862,06-14 19:33:39
DQN~test,42,4.564545615161274,06-14 19:33:39
DQN~test,42,1.1151527517185957,06-14 19:33:39
DQN~test,42,8.08688175614781,06-14 19:33:39
DQN~test,42,4.502655735080685,06-14 19:33:40
DQN~test,42,2.9692833584235134,06-14 19:33:40
DQN~test,42,1.8,06-14 19:33:40
DQN~test,42,7.950322580380561,06-14 19:33:40
DQN~test,42,6.353513695981899,06-14 19:33:41
DQN~test,42,1.665465357980372,06-14 19:33:41
DQN~test,42,5.5683897811732255,06-14 19:33:41
DQN~test,42,2.432044434686411,06-14 19:33:41
DQN~test,42,5.717593407828238,06-14 19:33:41
DQN~test,42,12.55262773177992,06-14 19:33:42
DQN~test,42,4.519288927558477,06-14 19:33:42
DQN~test,42,2.013000696801617,06-14 19:33:42
DQN~test,42,3.348789365770241,06-14 19:33:43
DQN~test,42,2.7123784952428065,06-14 19:33:43
DQN~test,42,15.502321023778226,06-14 19:33:43
DQN~test,42,3.3993772761244303,06-14 19:33:44
DQN~test,42,2.8864435592844675,06-14 19:33:44
DQN~test,42,0.9,06-14 19:33:44
DQN~test,42,1.6653785916491792,06-14 19:33:44
DQN~test,42,5.366407557605521,06-14 19:33:44
DQN~test,42,3.553198556078153,06-14 19:33:44
DQN~test,42,3.9837840472445833,06-14 19:33:45
DQN~test,42,5.984504507813023,06-14 19:33:45
DQN~test,42,1.5836014791399824,06-14 19:33:45
DQN~test,42,6.053250012772843,06-14 19:33:45
DQN~test,42,0.8993780516752842,06-14 19:33:45
DQN~test,42,2.2183522611763364,06-14 19:33:46
DQN~test,42,5.15266080573287,06-14 19:33:46
DQN~test,42,4.549702053304999,06-14 19:33:46
DQN~test,42,3.353553701568343,06-14 19:33:46
DQN~test,42,22.898091069050064,06-14 19:33:47
DQN~test,42,1.848486085051929,06-14 19:33:47
DQN~test,42,0.9660447183419507,06-14 19:33:47
DQN~test,42,20.58548491911872,06-14 19:33:48
DQN~test,42,1.6320452583158458,06-14 19:33:48
